plant_id,ghgrp_id,plant_name,lat,lon,address,co2e_tonnes_2021,scope1_co2e_tonnes_2021,scope2_co2e_tonnes_2021
SUS00074,1006708,CMC Steel New Jersey plant,40.478824, -74.321187,"1 Crossman Road North, Sayreville, NJ 08872, United States",222857.94,66529,156328.94
SUS00008,1004215,Cleveland-Cliffs Steelton steel plant,40.230720, -76.838506,"215 S. Front St., Steelton, PA 17113, United States",342387.15,102986,239401.15
SUS00055,1000714,Steel Dynamics Roanoke steel plant,37.272927, -79.998828,"102 Westside Blvd, Roanoke, VA 24017",400998.81,100256,300742.81
SUS00024,1002958,Nucor Steel Hertford plant,36.353006, -76.811471,"1505 River Road, Cofield, North Carolina 27922, United States",745820.75,231434,514386.75
SUS00076,1005346,CMC South Carolina steel plant,33.962272, -81.052011,"310 New State Rd., Cayce, SC 29033, United States",363232.28,104371,258861.28
SUS00021,1002266,Nucor Steel Berkeley plant,33.004319, -79.880955,"1455 Hagan Avenue, Huger, South Carolina 29450, United States",1682546.64,696472,986074.64
SUS00023,1007946,Nucor Steel Darlington plant,34.375628, -79.895165,"300 Steel Mill Road, Darlington, South Carolina 29540, United States",481723.79,179163,302560.79
SUS00063,1001103,Gerdau Cartersville steel plant,34.241226, -84.799539,"384 Old Grassdale Rd NE, Cartersville, GA 30121, United States",395338.8,90128,305210.8
SUS00073,1002216,CMC Steel Florida plant,30.282907, -81.978735,"16770 Rebar Road, Jacksonville, FL 32234, United States",360466.62,96234,264232.62
SUS00048,1000159,U.S. Steel Fairfield plant,33.480697, -86.937854,"5700 Valley Road, Fairfield, Alabama 35064, United States",722512.42,184696,537816.42
SUS00075,1003981,CMC Alabama steel plant,33.534372, -86.75773,"101 South 50th St., Birmingham, AL 35212, United States",330560.3,111064,219496.3
SUS00033,1003457,Nucor Steel Tuscaloosa plant,33.234761, -87.508498,"1700 Holt Road, Tuscaloosa, Alabama 35404, United States",650843.29,247481,403362.29
SUS00028,1005976,Nucor Steel Decatur plant,34.639630, -87.085738,"4301 Iverson Boulevard, Trinity, Alabama 35673, United States",1516319.01,497720,1018599.01
SUS00016,1005283,SSAB Americas Alabama steel plant,30.941783, -88.012437,"12400 Highway 43 North, Axis, Alabama 36505, United States",723992.11,303823,420169.11
SUS00037,1010763,Outokumpu Stainless USA steel plant,31.148179, -87.988660,"1 Steel Dr., Calvert, Alabama, 36513-1300, United States",543328.26,207193,336135.26
SUS00077,1006906,CMC Tennessee steel plant,35.978104, -83.956572,"1919 Tennessee Avenue, Knoxville, TN 37921, United States",334301.02,89981,244320.02
SUS00027,1003093,Nucor Steel Memphis plant,35.048395, -90.163033,"3601 Paul R. Lowry Road, Memphis, Tennessee 38109, United States",552819.9,152656,400163.9
SUS00018,1013051,JSW Steel USA Ohio plant,40.314891, -80.605553,"1500 Commercial Avenue, Mingo Junction, Ohio 43938, United States",598776.27,75391,523385.27
SUS00070,1003474,Charter Steel Cleveland plant,41.443147, -81.659911,"4300 East 49th Street, Cuyahoga Heights, OH 44125, United States",368983.58,143123,225860.58
SUS00057,1002768,Vallourec Star Youngstown steel plant,41.125495, -80.683382,"2669 Martin Luther King Jr. Blvd, Youngstown, OH 44510-1033, USA",390694.93,148542,242152.93
SUS00038,1003799,Republic Steel Canton plant,40.804114, -81.334002,"3707 Georgetown St. N.E., Canton, Ohio 44704-2625, United States",523225.51,142201,381024.51
SUS00045,1003860,Timken Faircrest steel plant,40.755388, -81.439369,"4511 Faircrest St. SW, Canton, Ohio 44706, United States",670117.22,251409,418708.22
SUS00054,1006530,Cleveland-Cliffs Mansfield Works,40.790123, -82.526239,"913 Bowman Street, Mansfield, OH 44903",295250.45,117382,177868.45
SUS00056,1003688,Steel Dynamics Engineered Bar Products steel plant,39.875508, -86.484214,"8000 North County Road 225 East , Pittsboro, Indiana 46167-9094",450705.23,192833,257872.23
SUS00059,1007866,NLMK Indiana steel plant,41.625912, -87.159989,"6500 S Boundary Rd, Portage, IN 46368, United States",401895.15,128017,273878.15
SUS00040,1005584,Steel Dynamics Butler plant,41.370640, -84.917454,"4500 County Road 59, Butler, Indiana 46721, United States",1989068.66,922011,1067057.66
SUS00041,1005602,Steel Dynamics Columbia City plant,41.121613, -85.348602,"2601 County Road 700 East, Columbia City, Indiana 46725, United States",1063040.75,351669,711371.75
SUS00022,1004151,Nucor Steel Crawfordsville plant,39.976379, -86.830727,"4537 South Nucor Road, Crawfordsville, Indiana 47933, United States",1173816.31,354316,819500.31
SUS00067,1004411,Gerdau Monroe steel plant,41.894229, -83.358697,"3000 E Front St, Monroe, MI 48161, United States",387397.87,109759,277638.87
SUS00017,1002147,SSAB Americas Iowa steel plant,41.482009, -90.820921,"1770 Bill Sharp Boulevard, Muscatine, Iowa 52761, United States",794835.19,349496,445339.19
SUS00069,1006901,Charter Steel Saukville plant,43.400533, -87.94820,"1658 Cold Springs Road, Saukville, WI 53080, United States",344432.24,148805,195627.24
SUS00062,1008735,Finkl Steel Chicago plant,41.724915, -87.589968,"1355 East 93rd Street, Chicago, IL 60619, United States",245412,41604,203808
SUS00030,1002621,Nucor Steel Kankakee plant,41.180734, -87.856196,"One Nucor Way, Bourbonnais, Illinois 60914, United States",395175.56,112761,282414.56
SUS00044,1006269,Leggett & Platt Sterling Steel plant,41.785971, -89.710947,"101, Ave K, Sterling, Illinois 61081, United States",591263.72,87896,503367.72
SUS00060,1004811,Liberty Steel & Wire Peoria plant,41.513249, -87.621438,"7000 S W Adams St. Peoria, IL 61641, United States",356963.36,142039,214924.36
SUS00082,1003268,Alton Steel plant,38.884465, -90.14579,"#5 Cut St, Alton, IL 62002 United States",280091.35,35074,245017.35
SUS00026,1007695,Nucor Steel Norfolk plant,42.078908, -97.360854,"2911 East Nucor Road, Norfolk, Nebraska 68701, United States",609797.81,205786,404011.81
SUS00011,1012997,U.S. Steel Big River Steel plant,35.644264, -89.941659,"2027 State Hwy 198, Osceola, Arkansas 72370, United States",1511062.79,527966,983096.79
SUS00066,1003052,Gerdau Fort Smith steel plant,35.307055, -94.372912,"5225 Planters Rd, Fort Smith, AR 72916, United States",258511.49,94662,163849.49
SUS00031,1005832,Nucor Steel Jewett plant,31.351853, -96.165436,"8812 Highway 79 West, Jewett, Texas 75846, United States",446730.62,176528,270202.62
SUS00014,1005344,Gerdau Midlothian Steel Mill,32.457544, -97.034246,"300 Ward Road, 76065 Midlothian, Texas, United States",904296.21,272784,631512.21
SUS00012,1004259,CMC Steel Texas plant,29.577459, -98.032017,"1 Steel Mill Dr., Seguin, Texas 78155, United States",555755.76,222320,333435.76
SUS00013,1003902,Evraz Pueblo steel plant,38.225770, -104.607895,"2100 South Freeway, Pueblo, Colorado 81004, United States",758707.74,243554,515153.74
SUS00034,1005777,Nucor Steel Plymouth plant,41.882789, -112.196743,"7285 W 21200 N West Cemetery Road, Plymouth, Utah 84330, United States",578584.52,227152,351432.52
SUS00078,1004038,CMC Arizona steel plant,33.285828, -111.586561,"11444 East Germann Rd., Mesa, AZ 85212, United States",177633.29,60957,116676.29
SUS00068,1005755,Cascade Steel Rolling Mills,45.228035, -123.163599,"3200 NE Highway 99W, McMinnville, OR 97128 US",401311.58,68457,332854.58
SUS00035,1000029,Nucor Steel Seattle plant,47.569597, -122.367395,"2424 SW Andover Street, Seattle, Washington 98106, United States",428431.36,97512,330919.36
SUS00002,1003268,Cleveland-Cliffs Butler steel plant,40.845524, -79.921452,"1 Armco Dr, Lyndora, PA 16045-1065, United States",274475.15,35074,239401.15
SUS00007,1003668,Cleveland-Cliffs Coatesville steel plant,39.977819, -75.824512,"139 Modena Road, Coatesville, PA 19230, United States",340990.94,149470,191520.94
SUS00009,NA,Cleveland-Cliffs Indiana Harbor steel plant,41.669553, -87.438429,"3210 Watling St., East Chicago, IN 46312, United States",NA,NA,161481.39
SUS00015,1000394,Gerdau Petersburg Steel Mill,37.181168, -77.449517,"25801 Hofheimer Way, Petersburg, Virginia 23805, United States",473629.15,140045,333584.15
SUS00019,1002977,North American Stainless steel plant,38.725418, -85.076015,"6870 Highway 42 East, Ghent, Kentucky, 41045-9615, United States",819745.56,352251,467494.56
SUS00020,NA,BlueScope North Star Steel plant,41.568783, -84.048129,"6767 County Road 9, Delta, Ohio 43515, United States",NA,NA,786103.38
SUS00020-1,NA,BlueScope North Star Steel plant EAF expansion,41.568783, -84.048129,"6767 County Road 9, Delta, Ohio 43515, United States",NA,NA,306087
SUS00025,1007642,Nucor Steel Hickman plant,35.901162, -89.776190,"5929 East State Highway 18, Armorel, Arkansas 72315, United States",1183980.9,454106,729874.9
SUS00029,NA,Nucor Steel Gallatin plant,38.759878, -84.996204,"4831 U.S. Hwy 42 W, Ghent, Kentucky 41405, United States",NA,NA,424251.29
SUS00029-1,NA,Nucor Steel Gallatin plant EAF expansion,38.759878, -84.996204,"4831 U.S. Hwy 42 W, Ghent, Kentucky 41405, United States",NA,NA,371366.03
SUS00032,1007921,Nucor-Yamato Steel Blytheville plant,35.941421, -89.713819,"7301 East County Road 142, Blytheville, Arkansas 72315, United States",1651085.88,469008,1182077.88
SUS00036,NA,Nucor Steel Brandenburg plant,37.9999454, -86.1398738,"Buttermilk Falls Industrial Park, Brandenburg, Kentucky, United States",NA,NA,318188.51
SUS00042,1004616,Steel Dynamics Columbus plant,33.447580, -88.572683,"1945 Airport Road / P.O. Box 1467, Columbus, Mississippi 39701, United States",2102209.32,575209,1527000.32
SUS00043,NA,Steel Dynamics Sinton plant,28.051820, -97.488040,"Sinton, Texas, United States",NA,NA,962472.73
SUS00058,NA,Optimus Steel Beaumont plant,30.08201, -94.074694,"PO BOX 3869, Beaumont, TX 77704, United States",NA,NA,208535.69
SUS00061,1001699,Liberty Steel Georgetown plant,33.367258, -79.292515,"420 S Hazard St, Georgetown, SC 29440, United States",NA,NA,302894.4
